recipe name,Category,Description,,,,
Taameya Egyptian Falafel,lunch,"Ta'ameya (Egyptian falafel) is an all-time favorite street food in Egypt. In most parts of the Middle East, falafel is made with ground chickpeas. In Egypt however, we make it with dried fava beans. These are best served with pita bread, tomato, onions, and tahini sauce.",,,,
Colombian Arepas,lunch,"Colombian arepas made with mozzarella cheese are quick and easy to make with this recipe. They are usually served for breakfast, as a side dish, or even for a quick meal.",,,,
Egyptian Koshari,lunch,"Lentils, rice and pasta are cooked and then served in a spicy tomato sauce. This is a typical Egyptian dish that is very good and cheap over here! Puree the sauce in a food processor if you like a smoother texture.",,,,
Kwek Kwek Filipino Street Food,unknown,"A popular street food in the Philippines, kwek kwek are hard-boiled quail eggs in orange batter that are deep fried and served with a sweet and sour sauce.",,,,
Garadu Baked Yams,dinner,"Yummy street food from Indore, India. You can increase or decrease the spices based on preference. You can experiment with butter/dried cilantro/garlic powder, or top baked yams with fresh chopped cilantro. Serve hot.",,,,
Banana Malpua Fried Indian Pancake for Diwali,dessert,"Malpua is an Indian pancake-like dessert fried in oodles of ghee and sugar syrup. The traditional sweet has been a festive staple since eons. For the longest time in Indian households, malpuas were associated with something celebratory. This is very popular in Northern and Eastern part of the country and the history goes back to the days of Aryans. This mouthwatering dish is prepared nowadays during Eid or Holi or during Diwali.",,,,
Pork Gyoza,appetizer,Gyoza are pan-fried Japanese dumplings which make perfect starters or nibbles. Filled with a savory mixture of ground pork and Japanese flavors.,,,,
Churros II,dessert,Spanish crullers.,,,,
Tokneneng Filipino Street Food,unknown,"A popular street food in the Philippines, tokneneng are hard boiled chicken eggs that are dipped in orange colored flour batter, deep fried, and served with a sweet and sour sauce.",,,,
Mexican Corn on the Cob Elote,lunch,This elote recipe for Mexican corn on the cob was given to me by a Mexican friend of mine. Street vendors there sell their corn made this way.,,,,
Vegetable Kottu Roti,lunch,A spicy one-dish vegetarian dinner with curry flavors. Vegetable kottu roti is traditional Sri Lankan street food.,,,,
