Breakfast 1,Breakfast 2,Lunch 1,Lunch 2,Lunch 3,Lunch 4,Dinner 1,Dinner 2,Dinner 3,Dinner 4,Total Calories,Total Protein,Total Fat,Total Carbs,Total Cost,Filter
Ube-Macapuno Cake,Ube-Macapuno Cake,"Mimis Smoked Salmon Chowder, Green Papaya Salad, Quick Chinese-Style Vermicelli Rice Noodles, Minced Pork and Watermelon Lettuce Wraps","Mimis Smoked Salmon Chowder, Green Papaya Salad, Quick Chinese-Style Vermicelli Rice Noodles, Minced Pork and Watermelon Lettuce Wraps","Mimis Smoked Salmon Chowder, Green Papaya Salad, Quick Chinese-Style Vermicelli Rice Noodles, Minced Pork and Watermelon Lettuce Wraps","Mimis Smoked Salmon Chowder, Green Papaya Salad, Quick Chinese-Style Vermicelli Rice Noodles, Minced Pork and Watermelon Lettuce Wraps","Briam Greek Baked Zucchini and Potatoes, Italian Sausage-Stuffed Cabbage Rolls","Briam Greek Baked Zucchini and Potatoes, Italian Sausage-Stuffed Cabbage Rolls","Briam Greek Baked Zucchini and Potatoes, Italian Sausage-Stuffed Cabbage Rolls","Briam Greek Baked Zucchini and Potatoes, Italian Sausage-Stuffed Cabbage Rolls",12487.35,398.6500000000001,650.05,1308.3999999999999,54.072500000000005,"mediterranean,global fusion,cakes"
Tortilla Espaola,Tortilla Espaola,"Super Easy Stir-Fried Cabbage, Chinese-Style Peanut Cookie","Super Easy Stir-Fried Cabbage, Chinese-Style Peanut Cookie","Super Easy Stir-Fried Cabbage, Chinese-Style Peanut Cookie","Super Easy Stir-Fried Cabbage, Chinese-Style Peanut Cookie",Pumpkin Spice Cookie,Pumpkin Spice Cookie,Pumpkin Spice Cookie,Pumpkin Spice Cookie,4511.75,93.44999999999999,256.2,502.225,6.1175,"pumpkin spice,spanish,chinese"
Cottage Cheese Pancakes,Cottage Cheese Pancakes,"Chef Johns Buttermilk Fried Chicken, Easy Chicken Empanadas, Quick Vegetarian Picadillo Empanadas","Chef Johns Buttermilk Fried Chicken, Easy Chicken Empanadas, Quick Vegetarian Picadillo Empanadas","Chef Johns Buttermilk Fried Chicken, Easy Chicken Empanadas, Quick Vegetarian Picadillo Empanadas","Chef Johns Buttermilk Fried Chicken, Easy Chicken Empanadas, Quick Vegetarian Picadillo Empanadas",Chewy Oatmeal Coconut Bar Cookies,Chewy Oatmeal Coconut Bar Cookies,Chewy Oatmeal Coconut Bar Cookies,Chewy Oatmeal Coconut Bar Cookies,16314.5,286.4,1225.525,950.275,43.262499999999996,"frying,-cheese lover's paradise,cookie creations"
Mexican Taco Quiche,Mexican Taco Quiche,Jewish Style Sweet and Sour Brisket,Jewish Style Sweet and Sour Brisket,Jewish Style Sweet and Sour Brisket,Jewish Style Sweet and Sour Brisket,Triple-Dipped Fried Chicken,Triple-Dipped Fried Chicken,Triple-Dipped Fried Chicken,Triple-Dipped Fried Chicken,11183.0,519.425,616.225,718.175,37.9075,"fried chicken creations,ground beef,beef dishes"
Keto Margarita,Keto Margarita,"Easy Caramel Apple Pie Bars, Cranberry Jell-O Salad with Walnuts","Easy Caramel Apple Pie Bars, Cranberry Jell-O Salad with Walnuts","Easy Caramel Apple Pie Bars, Cranberry Jell-O Salad with Walnuts","Easy Caramel Apple Pie Bars, Cranberry Jell-O Salad with Walnuts","Korean Barbecue-Style Meatballs, Simple Slow-Cooked Korean Beef Soft Tacos, Miso and Soy Chilean Sea Bass","Korean Barbecue-Style Meatballs, Simple Slow-Cooked Korean Beef Soft Tacos, Miso and Soy Chilean Sea Bass","Korean Barbecue-Style Meatballs, Simple Slow-Cooked Korean Beef Soft Tacos, Miso and Soy Chilean Sea Bass","Korean Barbecue-Style Meatballs, Simple Slow-Cooked Korean Beef Soft Tacos, Miso and Soy Chilean Sea Bass",9490.5,185.85,315.50000000000006,1463.85,27.3275,"cocktails,asian ,date night dinners "
Best Brioche French Toast,Best Brioche French Toast,"Skillet Chicken Bulgogi, Thai Spicy Basil Chicken Fried Rice, Buffalo Chicken Sushi Roll","Skillet Chicken Bulgogi, Thai Spicy Basil Chicken Fried Rice, Buffalo Chicken Sushi Roll","Skillet Chicken Bulgogi, Thai Spicy Basil Chicken Fried Rice, Buffalo Chicken Sushi Roll","Skillet Chicken Bulgogi, Thai Spicy Basil Chicken Fried Rice, Buffalo Chicken Sushi Roll",Perfect Porterhouse Steak,Perfect Porterhouse Steak,Perfect Porterhouse Steak,Perfect Porterhouse Steak,16846.6,1303.175,967.7,558.6500000000001,146.95250000000001,"asian ,comfort food,steak seasoning"
"Raspberry Cheesecake Stuffed French Toast, Cinnamon Roll Pancakes","Raspberry Cheesecake Stuffed French Toast, Cinnamon Roll Pancakes",The Best Chocolate Souffle Torte,The Best Chocolate Souffle Torte,The Best Chocolate Souffle Torte,The Best Chocolate Souffle Torte,"West African Peanut Soup, Spicy African Yam Soup","West African Peanut Soup, Spicy African Yam Soup","West African Peanut Soup, Spicy African Yam Soup","West African Peanut Soup, Spicy African Yam Soup",9258.25,182.97500000000002,407.5,1241.6499999999999,19.08,"african,gourmet delights ,breakfast/brunch"
Worlds Best Scones! From Scotland to the Savoy to the U.S.,Worlds Best Scones! From Scotland to the Savoy to the U.S.,,,,,"Beef and Mushroom Stroganoff, Aussie Style, Beef Tips and Noodles","Beef and Mushroom Stroganoff, Aussie Style, Beef Tips and Noodles","Beef and Mushroom Stroganoff, Aussie Style, Beef Tips and Noodles","Beef and Mushroom Stroganoff, Aussie Style, Beef Tips and Noodles",3539.75,186.425,177.275,263.4,14.602500000000001,"british/scottish,mushroom recipes,quinoa queen (or king) "
Churros,Churros,Irish Fried Cabbage with Bacon,Irish Fried Cabbage with Bacon,Irish Fried Cabbage with Bacon,Irish Fried Cabbage with Bacon,"Easy Chicken and Gnocchi Soup, Sous Vide Cajun Boneless Chicken Breast with Creamy Pan Sauce","Easy Chicken and Gnocchi Soup, Sous Vide Cajun Boneless Chicken Breast with Creamy Pan Sauce","Easy Chicken and Gnocchi Soup, Sous Vide Cajun Boneless Chicken Breast with Creamy Pan Sauce","Easy Chicken and Gnocchi Soup, Sous Vide Cajun Boneless Chicken Breast with Creamy Pan Sauce",2635.35,76.075,215.875,278.075,34.895,"bacon-based recipes,fried foods,chicken creations "
"English Quiche Lorraine, Scones","English Quiche Lorraine, Scones",Fruit Salad for Easter Sunday,Fruit Salad for Easter Sunday,Fruit Salad for Easter Sunday,Fruit Salad for Easter Sunday,"Beef Stroganoff, Easy Barbeque Beef Tenderloin Steak, Sarahs Slow-Cooker Corned Beef and Cabbage, Easy Slow Cooker French Dip","Beef Stroganoff, Easy Barbeque Beef Tenderloin Steak, Sarahs Slow-Cooker Corned Beef and Cabbage, Easy Slow Cooker French Dip","Beef Stroganoff, Easy Barbeque Beef Tenderloin Steak, Sarahs Slow-Cooker Corned Beef and Cabbage, Easy Slow Cooker French Dip","Beef Stroganoff, Easy Barbeque Beef Tenderloin Steak, Sarahs Slow-Cooker Corned Beef and Cabbage, Easy Slow Cooker French Dip",13375.5,585.125,670.3499999999999,1204.0,49.91,"fruit salad for easter sunday:,beef,family-friendly"
