recipe name,Category,Description,Instructions,Grocery Items,Grocery Quantities,Grocery Types,Total Time,Serving Size,Fused Grocery,Total Calories,Total Protein,Total Fat,Total Carbs,Total Cost
Chilton Cocktail,drink,"The Chilton cocktail, said to have originated in Lubbock, Texas, is a tangy and refreshing summer cocktail, perfect for those who don't like overly sweet drinks. Adjust the lemon and sparkling water to suit your taste.","Sprinkle salt onto a plate. Moisten the rim of a highball glass with lemon wedge. Press the moistened rim into salt. Fill the glass with ice.
Pour lemon juice and vodka over ice and gently stir. Top with sparkling water and serve with lemon wedge.","salt
lemon wedge
freshly-squeezed lemon juice
vodka
sparkling mineral water","[1.0, 1.0, 1.5, 1.5, 4.0]","tablespoon
ounces
ounces
fluid ounces",5 mins,,"tablespoon of salt
ounces of lemon wedge
ounces of freshly-squeezed lemon juice
fluid ounces of vodka",5.0,0.0,0.0,2.1,0.21
Mock Angel Food Cake,dessert,This is an angel food cake for a sheet cake. My grandma used to use this when she had a bakery. I have never had a problem with it. It is so easy to do.,"Preheat oven to 350 degrees F (175 degrees C).
Sift cake flour, sugar, and salt three times then stir in the boiling water. Let cool.
Beat egg whites, cream of tartar, baking powder, vanilla and almond flavorings until stiff peaks form. Fold into the flour mixture and pour batter into one ungreased 12x18 inch baking pan.
Bake at 350 degrees F (175 degrees C) for 35 minutes. Cool cake inverted in pan, laying a tea towel underneath the cake to absorb the steam. Frost as desired once the cake is cooled.","cake flour
white sugar
salt
boiling water
egg whites
baking powder
cream of tartar
vanilla extract
almond extract","[4.5, 4.0, 2.0, 2.0, 16.0, 2.0, 2.0, 2.0, 1.0]","cup
cup
teaspoon
cup

tablespoon
teaspoon
teaspoon
teaspoon",,10.0,"cup of cake flour
cup of white sugar
teaspoon of salt
cup of boiling water
of egg whites
tablespoon of baking powder
teaspoon of cream of tartar
teaspoon of vanilla extract
teaspoon of almond extract",5448.5,109.0,4.5,1227.5,6.14
Homemade Angel Food Cake,dessert,This angel food cake is just like grandma use to make.,"Preheat oven to 350 degrees F (175 degrees C). Sift cake flour and confectioners sugar together 5 times and set aside.
In a large clean bowl, whip egg whites with a pinch of salt until foamy. Add cream of tartar and continue beating until soft peaks form. Gradually add sugar while beating, and continue to beat until very stiff. Add vanilla.
Quickly fold in flour mixture. Pour into a 10 inch tube pan.
Bake at 350 degrees F (175 degrees C) for 45 minutes.","egg whites
cream of tartar
salt
white sugar
cake flour
confectioners' sugar
vanilla extract","[18.0, 2.0, 1.0, 1.5, 1.0, 0.5, 1.0]","
teaspoon
pinch
cup
cup
cup
teaspoon",,14.0,"of egg whites
teaspoon of cream of tartar
pinch of salt
cup of white sugar
cup of cake flour
cup of confectioners' sugar
teaspoon of vanilla extract",2321.0,82.0,1.0,493.5,3.42
Two Part Angel Cake,dessert,This is a recipe from my grandmother's recipe collection.,"To make Bottom/White part: Beat whites with salt until frothy. Add cream of tartar and continue beating until stiff, but not dry. Sift 1/2 cup flour and 3/4 cup sugar 4 times (separately). Add sugar gradually, then fold in flour. Add in 1/2 teaspoon vanilla. Put into ungreased angel cake pan. Prepare top.
To Make Top/Yellow Part: Beat yolks until light. Add 3/4 cup sugar, which has been sifted 4 times, gradually. Beat for 3 minutes. Add 3/4 cup flour and baking powder, which has been sifted together 4 times. Alternate flour mixture with hot water. Add 1 teaspoon vanilla. Pour this mix over top of first batter.
Bake at 325 degrees F (165 degrees C) for 40 minutes.","egg whites
cream of tartar
salt
white sugar
all-purpose flour
vanilla extract
egg yolks
white sugar
salt
all-purpose flour
boiling water
baking powder
vanilla extract","[6.0, 0.5, 0.25, 0.75, 0.5, 0.5, 6.0, 0.75, 0.25, 0.75, 0.25, 0.75, 1.0]","
teaspoon
teaspoon
cup
cup
teaspoon

cup
teaspoon
cup
cup
teaspoon
teaspoon",,14.0,"of egg whites
teaspoon of cream of tartar
teaspoon of salt
cup of white sugar
cup of all-purpose flour
teaspoon of vanilla extract
of egg yolks
cup of white sugar
teaspoon of salt
cup of all-purpose flour
cup of boiling water
teaspoon of baking powder
teaspoon of vanilla extract",2179.75,73.75,31.25,418.65,2.365
Chocolate Cereal Breakfast Bars,breakfast,Make your own chewy energy/granola bars with a not-too-sweet chocolate flavor with hints of coconut and almond.,"Preheat the oven to 350 degrees F (175 degrees C). Grease an 8x8 pan with butter and line with parchment paper.
Combine rolled oats, puffed brown rice cereal, almonds, coconut, cocoa powder, salt, and cayenne in a bowl.
Combine brown sugar, maple syrup, vegetable oil, and water in a small saucepan and bring to a simmer over medium-high heat. Stir, and let the mixture boil for 1 minute.
Pour sugar mixture over the dry ingredients in the bowl and mix thoroughly. Transfer to the prepared pan, and smooth out the top, pressing lightly with a spatula.
Bake in the preheated oven for 25 minutes. While still hot, use a spatula to score the pan into 8 portions. Let cool to room temperature before breaking into bars. You can also not score, and simply let cool, then cut with a knife.











Chef John","rolled oats
puffed brown rice cereal
chopped raw almonds
shredded coconut
unsweetened cocoa powder
kosher salt
tiny pinch cayenne pepper
packed brown sugar
maple syrup
vegetable oil
water","[1.5, 1.0, 0.5, 1.0, 3.0, 1.0, 1.0, 1.0, 0.5, 2.0, 1.0]","cup
cup
cup
cup
tablespoon
teaspoon

cup
cup
tablespoon
tablespoon",,8.0,"cup of rolled oats
cup of puffed brown rice cereal
cup of chopped raw almonds
cup of shredded coconut
tablespoon of unsweetened cocoa powder
teaspoon of kosher salt
of tiny pinch cayenne pepper
cup of packed brown sugar
cup of maple syrup
tablespoon of vegetable oil
tablespoon of water",2235.0,26.0,99.0,322.5,2.545
Dutch Apple Pie,dessert,This pie is baked in a brown grocery sack. It is so delicious.,"Preheat oven to 425 degrees F (220 degrees C).
Combine 1/2 cup sugar, 2 tablespoons flour, and cinnamon. Pour over apples in crust. Sprinkle lemon juice on top.
Cut 1/2 cup sugar, 1/2 cup flour, and 1/2 cup butter or margarine together, and top pie with the mixture.
Take two 15 inch pieces of parchment paper and enclose pie; fold edges up 3 times. Place on a baking sheet.
Bake in preheated oven for 1 hour. Remove from oven, split parchment open and cool pie on wire rack. DO NOT open parchment covering while baking! Serve warm, or at room temperature.











KNITTINQUEEN","granny smith apples - peeled
white sugar
all-purpose flour
ground cinnamon
lemon juice
white sugar
all-purpose flour
butter
pastry for a 9 inch single crust pie","[5.0, 0.5, 2.0, 0.5, 2.0, 0.5, 0.5, 0.5, 1.0]","large
cup
tablespoon
teaspoon
tablespoon
cup
cup
cup
recipe",,8.0,"large of granny smith apples - peeled
cup of white sugar
tablespoon of all-purpose flour
teaspoon of ground cinnamon
tablespoon of lemon juice
cup of white sugar
cup of all-purpose flour
cup of butter
recipe of pastry for a 9 inch single crust pie",3275.5,24.25,136.7,469.25,5.465
Apple Streusel Pie,dessert,This is the first on the dessert table to be devoured at any function or festivity! I made this up from a pie I had eaten at a restaurant years ago. This recipe makes two deep dish pies.,"Preheat oven to 350 degrees F (175 C).
Prepare the topping by combining the butter, brown sugar, flour and chopped pecans. Cut in all ingredients with pastry cutter until pea-sized. Set aside
Combine the apples, sugar, flour and cinnamon. Toss gently together and set aside.
Place apple mixture in unbaked pie shells. Heap the apples up high in each shell and fill completely. Sprinkle topping on top of each.
Bake at 350 degrees F (175 degrees C) for 50 minutes. Do not allow topping to get too dark.","butter
packed brown sugar
all-purpose flour
chopped pecans
apple - peeled
white sugar
all-purpose flour
ground cinnamon
unbaked pie shells","[2.0, 0.5, 0.5, 1.0, 9.0, 0.25, 1.0, 1.0, 2.0]","ounces
cup
cup
cup

cup
tablespoon
teaspoon
recipes",,8.0,"ounces of butter
cup of packed brown sugar
cup of all-purpose flour
cup of chopped pecans
of apple - peeled
cup of white sugar
tablespoon of all-purpose flour
teaspoon of ground cinnamon
recipes of unbaked pie shells",2880.0,22.7,85.6,488.85,8.7
Best Apple Pie,dessert,Lemon juice gives this pie some added zing!,"Preheat oven to 425 degrees F (220 degrees C).
In a large bowl mix together flour, salt, and cinnamon. Add apples and lemon juice. Toss until apples are thoroughly coated. Allow to sit for 10 minutes.
Pour apples into pastry-lined pie plate. Dot with butter or margarine. Cover with top pastry. Seal edges and cut steam vents in top pastry.
Bake in preheated oven for 35 to 45 minutes, until crust is golden brown.","pastry for a 9 inch double crust pie
all-purpose flour
salt
ground cinnamon
apples - peeled
lemon juice
butter","[1.0, 2.0, 0.25, 0.5, 9.0, 1.0, 1.0]","recipe
tablespoon
teaspoon
teaspoon

tablespoon
tablespoon",,8.0,"recipe of pastry for a 9 inch double crust pie
tablespoon of all-purpose flour
teaspoon of salt
teaspoon of ground cinnamon
of apples - peeled
tablespoon of lemon juice
tablespoon of butter",990.0,3.6,13.5,231.25,4.6125
Apple Pie,dessert,"This is a sweet, tart and delicious apple pie. Guaranteed to please. Be sure to use Granny Smith apples since they work the best.","Preheat oven to 425 degrees F (220 degrees C).
Mix together the sugar, flour, cinnamon, nutmeg and lemon peel.
Line one crust in a 9-inch deep-dish pie pan. Layer 1/3 of apples into pie crust. Sprinkle with sugar mixture and repeat until done. Sprinkle with lemon juice and dot with butter.
Place second pie crust on top of filling and flute the edges. Cut vents in top crust and brush with milk for a glazed appearance if desired.
Bake at 425 degrees F (220 degrees C) for 40 to 50 minutes.","white sugar
all-purpose flour
ground cinnamon
ground nutmeg
lemon zest
thinly sliced apples
lemon juice
butter
pastry for a 9 inch double crust pie
milk","[0.75, 2.0, 0.5, 0.25, 0.5, 7.0, 2.0, 1.0, 1.0, 4.0]","cup
tablespoon
teaspoon
teaspoon
teaspoon
cup
teaspoon
tablespoon
recipe
tablespoon",,8.0,"cup of white sugar
tablespoon of all-purpose flour
teaspoon of ground cinnamon
teaspoon of ground nutmeg
teaspoon of lemon zest
cup of thinly sliced apples
teaspoon of lemon juice
tablespoon of butter
recipe of pastry for a 9 inch double crust pie
tablespoon of milk",1151.0,6.225,14.75,257.875,4.0825
Applesauce Custard Pie,dessert,The little seniors at my center love this pie.,"Preheat oven to 425 degrees F (220 degrees C).
In a medium mixing bowl combine butter or margarine, sugar, and eggs. Beat until smooth. Add applesauce and vanilla. Mix thoroughly.
Pour custard mixture into pie shell. Sprinkle top lightly with cinnamon.
Bake in preheated oven for 30 to 40 minutes or until set in center.","pie shell
butter
white sugar
eggs
applesauce
vanilla extract
ground cinnamon","[1.0, 0.25, 1.0, 2.0, 2.0, 0.25, 0.25]","
cup
cup

cup
teaspoon
teaspoon",,8.0,"of pie shell
cup of butter
cup of white sugar
of eggs
cup of applesauce
teaspoon of vanilla extract
teaspoon of ground cinnamon",1962.5,16.225,73.0,288.225,2.9825
